Query,given Overlap%,given SpearmanCoefficient,live Overlap%,live SpearmanCoefficient
Query 1,30.0,-17.5,40.0,-10.7
Query 2,10.0,0.0,20.0,-71.0
Query 3,10.0,0.0,0.0,0.0
Query 4,10.0,0.0,10.0,1.0
Query 5,10.0,0.0,10.0,0.0
Query 6,10.0,0.0,0.0,0.0
Query 7,0.0,0.0,10.0,0.0
Query 8,10.0,0.0,40.0,-12.1
Query 9,30.0,-7.25,20.0,0.0
Query 10,0.0,0.0,10.0,0.0
Query 11,0.0,0.0,10.0,1.0
Query 12,20.0,-1.0,30.0,-14.5
Query 13,0.0,0.0,20.0,0.0
Query 14,30.0,-4.25,30.0,1.0
Query 15,0.0,0.0,0.0,0.0
Query 16,0.0,0.0,0.0,0.0
Query 17,30.0,-1.75,50.0,-2.65
Query 18,20.0,0.0,20.0,-3.0
Query 19,30.0,-1.5,50.0,-3.7
Query 20,10.0,0.0,20.0,-8.0
Query 21,30.0,0.75,40.0,-4.9
Query 22,20.0,-7.0,30.0,-28.25
Query 23,30.0,-13.75,30.0,-17.5
Query 24,30.0,-3.5,20.0,-8.0
Query 25,30.0,-0.25,20.0,-4.0
Query 26,10.0,1.0,10.0,0.0
Query 27,10.0,0.0,10.0,0.0
Query 28,10.0,0.0,20.0,0.0
Query 29,0.0,0.0,0.0,0.0
Query 30,10.0,0.0,0.0,0.0
Query 31,10.0,0.0,20.0,-51.0
Query 32,0.0,0.0,10.0,0.0
Query 33,40.0,-4.0,20.0,-33.0
Query 34,10.0,0.0,10.0,1.0
Query 35,0.0,0.0,10.0,1.0
Query 36,10.0,0.0,0.0,0.0
Query 37,20.0,1.0,20.0,-44.0
Query 38,10.0,0.0,10.0,0.0
Query 39,0.0,0.0,0.0,0.0
Query 40,10.0,0.0,30.0,-1.25
Query 41,10.0,0.0,20.0,-81.0
Query 42,0.0,0.0,10.0,0.0
Query 43,0.0,0.0,0.0,0.0
Query 44,10.0,0.0,10.0,0.0
Query 45,30.0,-15.5,20.0,-49.0
Query 46,40.0,-8.7,20.0,-9.0
Query 47,20.0,-4.0,30.0,-0.25
Query 48,20.0,0.0,0.0,0.0
Query 49,10.0,0.0,40.0,-1.0
Query 50,0.0,0.0,0.0,0.0
Query 51,20.0,-24.0,30.0,-4.5
Query 52,30.0,-6.5,0.0,0.0
Query 53,20.0,-1.0,20.0,-19.0
Query 54,0.0,0.0,0.0,0.0
Query 55,20.0,-44.0,20.0,-116.0
Query 56,10.0,0.0,0.0,0.0
Query 57,10.0,0.0,10.0,1.0
Query 58,30.0,-1.0,20.0,-9.0
Query 59,0.0,0.0,10.0,1.0
Query 60,20.0,-1.0,40.0,0.09999999999999998
Query 61,0.0,0.0,10.0,1.0
Query 62,10.0,1.0,10.0,1.0
Query 63,10.0,0.0,10.0,1.0
Query 64,10.0,0.0,20.0,-35.0
Query 65,0.0,0.0,0.0,0.0
Query 66,10.0,0.0,10.0,0.0
Query 67,0.0,0.0,0.0,0.0
Query 68,30.0,-1.25,30.0,-10.0
Query 69,20.0,0.0,10.0,0.0
Query 70,40.0,-2.6,20.0,-24.0
Query 71,0.0,0.0,0.0,0.0
Query 72,20.0,-12.0,10.0,0.0
Query 73,40.0,-2.8,10.0,1.0
Query 74,20.0,-19.0,10.0,0.0
Query 75,10.0,0.0,20.0,-1.0
Query 76,20.0,-16.0,10.0,0.0
Query 77,10.0,1.0,10.0,0.0
Query 78,30.0,-10.5,0.0,0.0
Query 79,0.0,0.0,20.0,-8.0
Query 80,10.0,0.0,10.0,1.0
Query 81,10.0,0.0,20.0,0.0
Query 82,10.0,0.0,30.0,-4.0
Query 83,0.0,0.0,0.0,0.0
Query 84,0.0,0.0,0.0,0.0
Query 85,0.0,0.0,10.0,0.0
Query 86,10.0,1.0,10.0,1.0
Query 87,20.0,-52.0,10.0,0.0
Query 88,0.0,0.0,0.0,0.0
Query 89,0.0,0.0,0.0,0.0
Query 90,30.0,-0.5,30.0,-1.0
Query 91,0.0,0.0,30.0,-12.5
Query 92,20.0,-16.0,10.0,0.0
Query 93,10.0,0.0,0.0,0.0
Query 94,0.0,0.0,10.0,0.0
Query 95,20.0,-89.0,0.0,0.0
Query 96,30.0,-16.0,30.0,-32.25
Query 97,10.0,0.0,20.0,0.0
Query 98,20.0,-1.0,40.0,-2.6
Query 99,0.0,0.0,10.0,0.0
Query 100,10.0,1.0,10.0,0.0
Averages,13.4,-3.9935,14.9,-7.235499999999999
